                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                 0.6471,                0.51789,                 0.5945,                0.44093,                 1.0961,                 1.1488,                 1.1362,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2148,                 1.4379,                 1.2672,                0.65546,                0.55243,                0.62087,                0.46113,                 1.0833,                  1.098,                 1.1275,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1855,                 1.3194,                 1.2365,                0.65781,                0.58098,                0.63766,                0.47417,                 1.0675,                 1.0691,                 1.1165,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1419,                 1.2954,                 1.2363,                0.67728,                0.60728,                0.66944,                0.49669,                 1.0538,                 1.0419,                 1.1066,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.2145,                 1.3291,                 1.2289,                0.68168,                0.62471,                0.69181,                0.51392,                 1.0396,                 1.0151,                 1.0954,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1218,                 1.1597,                 1.1959,                0.70087,                0.62816,                0.70506,                0.52597,                 1.0255,                0.99526,                 1.0834,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1209,                 1.1753,                 1.1982,                0.70732,                  0.646,                0.71779,                0.53535,                 1.0162,                0.97701,                 1.0786,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                   1.08,                 1.1254,                 1.1629,                0.73938,                0.66715,                0.72626,                0.54332,                 1.0122,                0.94908,                 1.0755,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0789,                 1.0917,                 1.1605,                0.73103,                0.68254,                 0.7357,                0.54985,                 1.0075,                0.92066,                 1.0724,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0755,                 1.1195,                 1.1762,                0.71631,                0.69192,                0.74148,                0.55355,                 1.0011,                0.89971,                  1.067,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.1105,                 1.0964,                 1.1669,                0.72541,                0.69184,                0.75005,                 0.5667,                0.98753,                0.86969,                 1.0582,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                  1.018,                 1.0351,                 1.1379,                0.76798,                0.68448,                0.76097,                0.57559,                0.97353,                0.84862,                 1.0503,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0805,                 1.0348,                 1.1826,                0.80115,                0.67721,                0.76666,                0.58674,                0.96435,                 0.8341,                 1.0465,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0796,                 1.0682,                 1.1512,                0.80983,                0.67518,                0.77608,                0.59552,                0.96258,                0.82002,                 1.0438,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0886,                 1.0498,                 1.1506,                0.76979,                0.70423,                0.77992,                0.59601,                0.96256,                0.81113,                 1.0405,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0503,                 1.0156,                 1.1434,                 0.7991,                0.72061,                0.78986,                0.60882,                0.95441,                0.79426,                 1.0355,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0272,                 1.0373,                 1.1368,                0.79911,                 0.7242,                 0.8014,                 0.6209,                0.93816,                0.77712,                   1.03,             0.00010133,             0.00010133,             0.00010133
                     18,                   1.05,                 0.9765,                 1.1375,                0.82114,                 0.7307,                0.81942,                0.63013,                0.92544,                 0.7572,                 1.0251,             0.00010015,             0.00010015,             0.00010015
                     19,                0.98527,                0.96037,                 1.1344,                0.83393,                0.72827,                0.82486,                0.63308,                0.91717,                0.74418,                 1.0196,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.97132,                0.91354,                 1.1065,                0.77055,                0.76276,                0.82634,                0.63612,                0.91105,                0.73758,                 1.0151,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0169,                0.93937,                 1.1266,                0.82758,                0.75165,                0.83284,                0.63937,                0.90892,                  0.727,                  1.013,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0207,                0.92003,                 1.1312,                0.85561,                0.74846,                 0.8337,                0.64282,                0.90566,                0.71683,                   1.01,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 1.0057,                0.91949,                 1.0999,                0.85649,                   0.74,                0.83143,                0.64551,                0.90099,                0.70967,                 1.0063,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.95436,                0.90821,                 1.0965,                0.84654,                 0.7428,                0.83556,                0.64799,                0.89532,                0.70466,                 1.0039,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96233,                0.88775,                 1.0954,                0.77519,                0.78657,                0.83684,                0.64811,                0.88804,                0.69523,                 1.0025,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.96952,                0.93153,                 1.1102,                0.83892,                0.75724,                0.84196,                0.65222,                 0.8791,                0.68603,                0.99881,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.98687,                0.90507,                 1.1214,                0.82906,                0.76542,                0.84692,                0.65814,                 0.8704,                0.67783,                 0.9955,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.97836,                0.85884,                 1.1079,                0.81827,                0.77114,                0.84955,                0.65981,                0.86232,                0.66693,                0.99193,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.96553,                0.85673,                  1.095,                0.85697,                0.75662,                0.84837,                0.66126,                0.85909,                0.66217,                0.98939,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.93799,                0.80463,                 1.0591,                0.86485,                0.75798,                0.84876,                0.66668,                0.85418,                0.66094,                0.98646,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.98582,                0.86661,                 1.0983,                0.86167,                0.75646,                0.85068,                0.66899,                0.85025,                0.65158,                0.98417,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.87882,                0.79758,                 1.0739,                 0.8645,                0.75998,                0.85386,                0.67111,                0.84444,                0.64339,                0.98079,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                0.93655,                0.85684,                 1.0829,                0.85426,                  0.768,                0.85948,                0.67357,                0.83803,                0.63475,                0.97901,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.95368,                 0.8696,                 1.0989,                0.84262,                0.77446,                0.85899,                0.67851,                0.83602,                0.62866,                 0.9785,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.93859,                0.81041,                   1.08,                0.87895,                0.77884,                0.86157,                0.68414,                0.82841,                0.62524,                0.97522,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.95247,                0.83623,                 1.0733,                0.88532,                0.77599,                0.86384,                  0.687,                0.82189,                0.62753,                0.97124,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.91248,                0.79945,                 1.0416,                0.88376,                0.77243,                0.86457,                 0.6909,                0.81892,                0.62284,                0.96953,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90329,                0.81086,                 1.0771,                0.88229,                0.77599,                0.86443,                0.69011,                0.81877,                 0.6188,                0.96856,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.94098,                0.80947,                 1.1013,                0.88037,                0.78545,                0.86667,                 0.6905,                0.81674,                0.60937,                0.96729,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92142,                0.79489,                 1.0801,                0.87034,                0.79143,                0.86703,                0.69714,                0.81296,                 0.6072,                0.96629,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90823,                0.79682,                 1.0636,                0.87737,                0.78278,                 0.8616,                0.70041,                0.80677,                0.60224,                0.96325,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.95619,                0.80532,                  1.078,                0.88325,                0.77456,                0.86354,                0.70104,                0.80015,                0.59824,                0.96033,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.93858,                0.81657,                 1.0876,                0.87638,                0.78501,                0.86424,                0.70509,                0.79808,                0.59778,                0.95885,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.89858,                0.75999,                 1.0661,                0.86252,                0.80043,                0.86584,                0.71172,                0.79629,                0.59817,                0.95687,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.86877,                 0.8086,                 1.0621,                0.85946,                0.80062,                0.86583,                0.71126,                0.79499,                0.59739,                 0.9561,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                  0.886,                0.76368,                 1.0571,                0.87825,                0.78518,                0.86455,                0.70845,                0.78881,                0.59342,                0.95419,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.87642,                 0.7654,                 1.0587,                0.88091,                0.78238,                0.86426,                0.70792,                0.78398,                0.58692,                0.95265,             6.5986e-05,             6.5986e-05,             6.5986e-05
